url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,237,131
/hgalytoby/MyselfAnimeDownloader/releases,60,46
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,39,30
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,38,14
/hgalytoby/MyselfAnimeDownloader/blob/master/UpdateLog.md,25,11
/hgalytoby/MyselfAnimeDownloader/blob/master/myself_tools.py,19,2
/hgalytoby/MyselfAnimeDownloader/issues/5,18,18
/hgalytoby/MyselfAnimeDownloader/tree/master/.github/workflows,15,6
/hgalytoby/MyselfAnimeDownloader/blob/master/hgalytoby/MyselfAnimeDownloader/ghrs-data/snapshots/2022-09-05_024635_top_paths_snapshot.csv,15,2
/hgalytoby/MyselfAnimeDownloader/blob/master/main.py,13,5
