time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-30 00:00:00+00:00,2,2,22,11
2024-01-31 00:00:00+00:00,2,2,36,14
2024-02-01 00:00:00+00:00,2,2,21,8
2024-02-02 00:00:00+00:00,2,2,48,20
2024-02-03 00:00:00+00:00,2,2,70,19
2024-02-04 00:00:00+00:00,2,2,31,14
2024-02-05 00:00:00+00:00,3,3,94,21
2024-02-06 00:00:00+00:00,2,2,15,8
2024-02-07 00:00:00+00:00,2,2,30,10
2024-02-08 00:00:00+00:00,2,2,57,16
2024-02-09 00:00:00+00:00,3,3,110,17
2024-02-10 00:00:00+00:00,2,2,37,14
2024-02-11 00:00:00+00:00,3,3,40,12
2024-02-12 00:00:00+00:00,3,3,75,11
