time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-18 00:00:00+00:00,1.0,1.0,16,9
2023-11-19 00:00:00+00:00,2.0,2.0,14,11
2023-11-20 00:00:00+00:00,3.0,3.0,18,12
2023-11-21 00:00:00+00:00,2.0,2.0,17,10
2023-11-22 00:00:00+00:00,2.0,2.0,23,8
2023-11-23 00:00:00+00:00,1.0,1.0,36,17
2023-11-24 00:00:00+00:00,2.0,2.0,46,21
2023-11-25 00:00:00+00:00,2.0,2.0,14,9
2023-11-26 00:00:00+00:00,2.0,2.0,31,11
2023-11-27 00:00:00+00:00,5.0,5.0,47,14
2023-11-28 00:00:00+00:00,1.0,1.0,23,14
2023-11-29 00:00:00+00:00,2.0,2.0,26,14
2023-11-30 00:00:00+00:00,1.0,1.0,39,14
2023-12-01 00:00:00+00:00,,,28,9
