url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,69,44
/hgalytoby/MyselfAnimeDownloader/releases,17,13
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,12,7
/hgalytoby/MyselfAnimeDownloader/issues,9,9
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,6,6
/hgalytoby/MyselfAnimeDownloader/issues/44,5,4
/hgalytoby/MyselfAnimeDownloader/discussions/47,4,3
/hgalytoby/MyselfAnimeDownloader/tree/master,4,3
/hgalytoby/MyselfAnimeDownloader/pulse,4,2
/hgalytoby/MyselfAnimeDownloader/actions,2,1
