time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-04 00:00:00+00:00,1.0,1.0,38,18
2024-09-05 00:00:00+00:00,2.0,1.0,64,10
2024-09-06 00:00:00+00:00,2.0,1.0,22,6
2024-09-07 00:00:00+00:00,4.0,1.0,21,12
2024-09-08 00:00:00+00:00,,,76,12
2024-09-09 00:00:00+00:00,4.0,1.0,10,6
2024-09-10 00:00:00+00:00,,,4,3
2024-09-11 00:00:00+00:00,6.0,5.0,33,7
2024-09-12 00:00:00+00:00,,,13,11
2024-09-13 00:00:00+00:00,,,28,11
2024-09-14 00:00:00+00:00,,,15,10
2024-09-15 00:00:00+00:00,4.0,2.0,12,6
2024-09-16 00:00:00+00:00,,,32,8
2024-09-17 00:00:00+00:00,,,46,11
