time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,,,8.0,5.0
2025-12-12 00:00:00+00:00,,,17.0,8.0
2025-12-13 00:00:00+00:00,,,9.0,6.0
2025-12-14 00:00:00+00:00,,,23.0,9.0
2025-12-15 00:00:00+00:00,,,5.0,5.0
2025-12-16 00:00:00+00:00,,,42.0,8.0
2025-12-17 00:00:00+00:00,,,16.0,9.0
2025-12-18 00:00:00+00:00,,,17.0,6.0
2025-12-19 00:00:00+00:00,,,10.0,5.0
2025-12-20 00:00:00+00:00,,,21.0,8.0
2025-12-21 00:00:00+00:00,14.0,6.0,20.0,11.0
2025-12-22 00:00:00+00:00,10.0,6.0,32.0,7.0
2025-12-23 00:00:00+00:00,4.0,4.0,22.0,7.0
2025-12-24 00:00:00+00:00,20.0,5.0,19.0,10.0
2025-12-25 00:00:00+00:00,14.0,7.0,,
2025-12-26 00:00:00+00:00,12.0,5.0,,
2025-12-27 00:00:00+00:00,12.0,6.0,,
2025-12-28 00:00:00+00:00,16.0,5.0,,
2025-12-29 00:00:00+00:00,3.0,3.0,,
2025-12-30 00:00:00+00:00,11.0,4.0,,
2025-12-31 00:00:00+00:00,12.0,7.0,,
2026-01-01 00:00:00+00:00,7.0,3.0,,
2026-01-02 00:00:00+00:00,6.0,6.0,,
2026-01-03 00:00:00+00:00,8.0,5.0,,
