time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-07 00:00:00+00:00,3,2,49,19
2023-03-08 00:00:00+00:00,1,1,27,16
2023-03-09 00:00:00+00:00,2,2,27,16
2023-03-10 00:00:00+00:00,2,2,50,24
2023-03-11 00:00:00+00:00,1,1,44,18
2023-03-12 00:00:00+00:00,1,1,27,11
2023-03-13 00:00:00+00:00,4,3,26,12
2023-03-14 00:00:00+00:00,1,1,31,19
2023-03-15 00:00:00+00:00,2,2,32,18
2023-03-16 00:00:00+00:00,2,2,78,23
2023-03-17 00:00:00+00:00,2,2,52,17
2023-03-18 00:00:00+00:00,1,1,50,17
2023-03-19 00:00:00+00:00,1,1,78,19
2023-03-20 00:00:00+00:00,1,1,68,30
