time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-04 00:00:00+00:00,10.0,5.0,24,6
2025-04-05 00:00:00+00:00,3.0,3.0,35,10
2025-04-06 00:00:00+00:00,6.0,3.0,35,11
2025-04-07 00:00:00+00:00,6.0,4.0,14,9
2025-04-08 00:00:00+00:00,1.0,1.0,10,1
2025-04-09 00:00:00+00:00,1.0,1.0,7,5
2025-04-10 00:00:00+00:00,5.0,2.0,16,10
2025-04-11 00:00:00+00:00,4.0,2.0,3,3
2025-04-12 00:00:00+00:00,3.0,2.0,6,4
2025-04-13 00:00:00+00:00,3.0,2.0,15,4
2025-04-14 00:00:00+00:00,3.0,3.0,20,6
2025-04-15 00:00:00+00:00,2.0,2.0,15,7
2025-04-16 00:00:00+00:00,1.0,1.0,2,2
2025-04-17 00:00:00+00:00,,,9,5
