url_path,views_total,views_unique
/hgalytoby/MyselfAnimeDownloader,102,70
/hgalytoby/MyselfAnimeDownloader/releases,33,28
/hgalytoby/MyselfAnimeDownloader/issues,16,6
/hgalytoby/MyselfAnimeDownloader/releases/tag/Ver1.1.15,14,12
/hgalytoby/MyselfAnimeDownloader/issues/20,13,11
/hgalytoby/MyselfAnimeDownloader/issues/44,8,4
/hgalytoby/MyselfAnimeDownloader/issues/5,6,6
/hgalytoby/MyselfAnimeDownloader/issues/14,6,3
/hgalytoby/MyselfAnimeDownloader/tree/master/Share,5,5
/hgalytoby/MyselfAnimeDownloader/issues/40,4,1
