time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-18 00:00:00+00:00,3,3,28,16
2024-03-19 00:00:00+00:00,1,1,14,10
2024-03-20 00:00:00+00:00,2,2,72,18
2024-03-21 00:00:00+00:00,2,2,33,15
2024-03-22 00:00:00+00:00,2,2,36,19
2024-03-23 00:00:00+00:00,1,1,24,15
2024-03-24 00:00:00+00:00,1,1,94,26
2024-03-25 00:00:00+00:00,1,1,42,22
2024-03-26 00:00:00+00:00,1,1,20,13
2024-03-27 00:00:00+00:00,1,1,57,8
2024-03-28 00:00:00+00:00,3,3,52,15
2024-03-29 00:00:00+00:00,2,2,26,11
2024-03-30 00:00:00+00:00,1,1,64,13
2024-03-31 00:00:00+00:00,2,1,55,19
