time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-15 00:00:00+00:00,4.0,2.0,12,6
2024-09-16 00:00:00+00:00,,,32,8
2024-09-17 00:00:00+00:00,,,46,11
2024-09-18 00:00:00+00:00,2.0,2.0,29,6
2024-09-19 00:00:00+00:00,,,7,4
2024-09-20 00:00:00+00:00,1.0,1.0,53,12
2024-09-21 00:00:00+00:00,1.0,1.0,39,13
2024-09-22 00:00:00+00:00,2.0,1.0,25,14
2024-09-23 00:00:00+00:00,1.0,1.0,71,12
2024-09-24 00:00:00+00:00,2.0,1.0,50,10
2024-09-25 00:00:00+00:00,3.0,1.0,19,7
2024-09-26 00:00:00+00:00,,,52,14
2024-09-27 00:00:00+00:00,2.0,1.0,10,5
2024-09-28 00:00:00+00:00,,,20,11
