time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-09 00:00:00+00:00,17.0,9.0,11,6
2025-07-10 00:00:00+00:00,12.0,6.0,31,6
2025-07-11 00:00:00+00:00,13.0,5.0,17,8
2025-07-12 00:00:00+00:00,13.0,7.0,3,3
2025-07-13 00:00:00+00:00,11.0,5.0,6,2
2025-07-14 00:00:00+00:00,14.0,8.0,12,5
2025-07-15 00:00:00+00:00,9.0,3.0,3,3
2025-07-16 00:00:00+00:00,9.0,3.0,15,3
2025-07-17 00:00:00+00:00,11.0,5.0,14,6
2025-07-18 00:00:00+00:00,14.0,6.0,6,2
2025-07-19 00:00:00+00:00,11.0,3.0,18,9
2025-07-20 00:00:00+00:00,10.0,4.0,11,4
2025-07-21 00:00:00+00:00,9.0,3.0,28,8
2025-07-22 00:00:00+00:00,,,14,10
