time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-24 00:00:00+00:00,2,2,46,21
2023-11-25 00:00:00+00:00,2,2,14,9
2023-11-26 00:00:00+00:00,2,2,31,11
2023-11-27 00:00:00+00:00,5,5,47,14
2023-11-28 00:00:00+00:00,1,1,23,14
2023-11-29 00:00:00+00:00,2,2,26,14
2023-11-30 00:00:00+00:00,1,1,39,14
2023-12-01 00:00:00+00:00,2,2,28,9
2023-12-02 00:00:00+00:00,2,2,34,14
2023-12-03 00:00:00+00:00,2,2,16,10
2023-12-04 00:00:00+00:00,3,3,32,12
2023-12-05 00:00:00+00:00,3,3,12,6
2023-12-06 00:00:00+00:00,1,1,24,14
2023-12-07 00:00:00+00:00,1,1,13,10
